Description;Channel;SecondDescription;"Start time";"AMR";"AMR_perc";"RCH";"RCH_perc";"SHR_perc"
"MEZCZYZNA IDEALNY /ZAPOWIEDZI/";"Ale Kino+ [Ale Kino]";" ";"03:21:14";0;0,000 %;0;0,000 %;0,000 %
"PROMO";"BBC Lifestyle";" ";"03:21:52";0;0,000 %;0;0,000 %;0,000 %
"SAFE HOUSE /ZAPOWIEDZI/";"Ale Kino+ [Ale Kino]";" ";"03:21:53";0;0,000 %;0;0,000 %;0,000 %
"PROMO";"Boomerang";" ";"03:21:55";0;0,000 %;0;0,000 %;0,000 %
"PROMO";"BBC Brit [BBC Entertainment]";" ";"03:21:56";0;0,000 %;0;0,000 %;0,000 %
"KONKURS";"Ale Kino+ [Ale Kino]";" ";"03:22:32";0;0,000 %;0;0,000 %;0,000 %
"WIECZOR Z RUBENEM OSTLUNDEM /ZAPOWIEDZI/";"Ale Kino+ [Ale Kino]";" ";"03:22:42";0;0,000 %;0;0,000 %;0,000 %
"PROMO";"Cartoon Network";" ";"03:23:13";0;0,000 %;0;0,000 %;0,000 %
"PROMO";"BBC CBeebies";" ";"03:23:24";0;0,000 %;0;0,000 %;0,000 %
"ELIOT KID /SER. ANIM. FRA.W.BRYT./";"Cartoon Network";" ";"03:23:35";0;0,000 %;0;0,000 %;0,000 %
"ZAGADKI KRYMINALNE PANNY FISHER /ZAPOWIEDZI/";"Ale Kino+ [Ale Kino]";" ";"03:23:57";0;0,000 %;0;0,000 %;0,000 %
"PROMO";"CBS Drama [Club TV]";" ";"03:24:07";0;0,000 %;0;0,000 %;0,000 %
"PROGRAM+";"Ale Kino+ [Ale Kino]";" ";"03:24:27";0;0,000 %;0;0,000 %;0,000 %
"PROMO";"BBC Earth [BBC Knowledge]";" ";"03:24:39";0;0,000 %;0;0,000 %;0,000 %
"LITTLE HUMAN PLANET";"BBC CBeebies";" ";"03:24:48";0;0,000 %;0;0,000 %;0,000 %
"LASY DOLNEGO SLASKA /REP./";"ADVENTURE";" ";"03:25:13";0;0,000 %;0;0,000 %;0,000 %
"OSTATNIA PIESN TORREADORA /FILM KROTKOM.POL./";"Ale Kino+ [Ale Kino]";" ";"03:25:24";0;0,000 %;0;0,000 %;0,000 %
"PROMO";"Animal Planet HD";" ";"03:25:36";0;0,000 %;0;0,000 %;0,000 %
"THE MAN EATING TIGERS OF SUMATRA";"BBC Earth [BBC Knowledge]";" ";"03:25:49";0;0,000 %;0;0,000 %;0,000 %
"AUTOPROMOCJA";"Canal+ Family [Canal+ Weekend]";" ";"03:25:59";8 880;0,025 %;8 880;0,025 %;0,810 %
"AUTOPROMOCJA";"Canal+ Seriale [Canal+ Film 2]";" ";"03:27:24";0;0,000 %;0;0,000 %;0,000 %
"AUTOPROMOCJA";"Canal+ Sport2";" ";"03:27:55";0;0,000 %;0;0,000 %;0,000 %
"TV LOGO";"Canal+ Family [Canal+ Weekend]";" ";"03:27:56";8 880;0,025 %;8 880;0,025 %;0,809 %
"AUTOPROMOCJA";"Canal+ Family [Canal+ Weekend]";" ";"03:28:11";8 880;0,025 %;8 880;0,025 %;0,814 %
"PROMO";"CBS Action [Zone Romantica]";" ";"03:28:29";0;0,000 %;0;0,000 %;0,000 %
"BLOK SPONSORSKI";"Canal+ Sport [Canal+ Niebieski]";"NICE";"03:28:30";0;0,000 %;0;0,000 %;0,000 %
"EKSTRAKLASA /MECZ PILKI NOZNEJ/";"Canal+ Sport [Canal+ Niebieski]";"GORNIK LECZNA - CRACOVIA KRAKOW";"03:28:38";0;0,000 %;0;0,000 %;0,000 %
"PROMO";"CI Polsat [Polsat Crime & Investigation Network]";" ";"03:29:25";0;0,000 %;0;0,000 %;0,000 %
"PROMO";"BBC CBeebies";" ";"03:29:41";0;0,000 %;0;0,000 %;0,000 %
"PROMO";"CBS Reality [Zone Reality]";" ";"03:29:55";3 179;0,009 %;3 179;0,009 %;0,301 %
"W TONACJI+ /MAG.MUZ.POL./";"Canal+ Seriale [Canal+ Film 2]";" ";"03:30:06";182;0,001 %;7 922;0,022 %;0,019 %
"PREMIER LEAGUE+ /MAG.PILKARSKI/";"Canal+ Sport2";" ";"03:30:07";1 950;0,005 %;12 850;0,036 %;0,202 %
"LUBIE NIETOPERZE /FILM HORR.POL./";"Canal+ Family [Canal+ Weekend]";" ";"03:30:08";9 409;0,026 %;13 962;0,039 %;1,059 %
"BUZZ & TELL";"BBC CBeebies";" ";"03:31:08";0;0,000 %;0;0,000 %;0,000 %
"AUTOPROMOCJA";"Canal+ 1 [Canal+ Family 2]";" ";"03:33:01";0;0,000 %;0;0,000 %;0,000 %
"SEDZIA JUDY /REALITY SHOW USA/";"CBS Reality [Zone Reality]";"JUDGE JUDY";"03:34:40";3 099;0,009 %;3 179;0,009 %;0,310 %
"ZAGLODZENI /FILM HORR.USA/";"Canal+ 1 [Canal+ Family 2]";" ";"03:35:13";81;0,000 %;8 241;0,023 %;0,010 %
"PROMO";"Animal Planet HD";" ";"03:35:25";0;0,000 %;0;0,000 %;0,000 %
"PROMO";"BBC CBeebies";" ";"03:36:11";0;0,000 %;0;0,000 %;0,000 %
"PROMO";"CBS Drama [Club TV]";" ";"03:36:12";0;0,000 %;0;0,000 %;0,000 %
"POLICJA DLA ZWIERZAT W HOUSTON /SER.DOK.PRZYR.ANG./";"Animal Planet HD";"ANIMAL COPS HOUSTON";"03:36:25";0;0,000 %;0;0,000 %;0,000 %
"CLANGERS";"BBC CBeebies";" ";"03:37:13";0;0,000 %;0;0,000 %;0,000 %
"PROMO";"13 Ulica [13th Street Universal]";" ";"03:38:25";11 570;0,032 %;11 570;0,032 %;1,114 %
"PROMO";"AXN White [AXN Crime]";" ";"03:40:04";0;0,000 %;0;0,000 %;0,000 %
"PROMO";"AXN Black [AXN Sci-Fi]";" ";"03:40:33";0;0,000 %;0;0,000 %;0,000 %
"LOWCY GLOW /SER.DOK./";"AXN Black [AXN Sci-Fi]";"DOG & BETH: ON THE HUNT 110 - DOGLAHOMA 2: FOR A FEW BOUNTIES MORE";"03:40:48";0;0,000 %;0;0,000 %;0,000 %
"WZOR /SER.SENS.USA/";"AXN White [AXN Crime]";"NUMB3RS 209 - TOXIN";"03:40:54";622;0,002 %;9 847;0,028 %;0,069 %
"PROMO";"BBC HD";" ";"03:41:42";0;0,000 %;0;0,000 %;0,000 %
"TAKA ROZRYWKA";"ATM Rozrywka";" ";"03:41:50";9 779;0,027 %;9 779;0,027 %;0,977 %
"SILK";"BBC HD";" ";"03:42:02";0;0,000 %;0;0,000 %;0,000 %
"PROMO";"CBS Action [Zone Romantica]";" ";"03:42:39";0;0,000 %;0;0,000 %;0,000 %
"PROMO";"BBC Brit [BBC Entertainment]";" ";"03:42:46";0;0,000 %;0;0,000 %;0,000 %
"PROMO";"Boomerang";" ";"03:42:49";0;0,000 %;0;0,000 %;0,000 %
"FLINTSTONOWIE /SER.ANIM.USA/";"Boomerang";" ";"03:43:23";0;0,000 %;0;0,000 %;0,000 %
"PROMO";"CBS Reality [Zone Reality]";" ";"03:43:42";3 179;0,009 %;3 179;0,009 %;0,320 %
"PROMO";"BBC Lifestyle";" ";"03:44:32";0;0,000 %;0;0,000 %;0,000 %
"DIY SOS";"BBC Lifestyle";" ";"03:45:12";0;0,000 %;0;0,000 %;0,000 %
"BEZ KOMENTARZA /REP./";"ADVENTURE";" ";"03:45:59";0;0,000 %;0;0,000 %;0,000 %
"WIECZOR Z RUBENEM OSTLUNDEM /ZAPOWIEDZI/";"Ale Kino+ [Ale Kino]";" ";"03:47:36";0;0,000 %;0;0,000 %;0,000 %
"PROMO";"BBC CBeebies";" ";"03:48:17";0;0,000 %;0;0,000 %;0,000 %
"PROMO";"CI Polsat [Polsat Crime & Investigation Network]";" ";"03:48:18";0;0,000 %;0;0,000 %;0,000 %
"OMAR /ZAPOWIEDZI/";"Ale Kino+ [Ale Kino]";" ";"03:48:51";0;0,000 %;0;0,000 %;0,000 %
"KINO MOWI /ZAPOWIEDZI/";"Ale Kino+ [Ale Kino]";" ";"03:49:28";0;0,000 %;0;0,000 %;0,000 %
